time;count
14/06/2015 14:01;522
14/06/2015 14:04;493
14/06/2015 14:07;473
14/06/2015 14:10;542
14/06/2015 14:13;515
14/06/2015 14:16;477
14/06/2015 14:19;479
14/06/2015 14:22;473
14/06/2015 14:25;455
14/06/2015 14:28;460
14/06/2015 14:31;466
14/06/2015 14:34;521
14/06/2015 14:37;477
14/06/2015 14:40;517
14/06/2015 14:43;485
14/06/2015 14:46;490
14/06/2015 14:49;543
14/06/2015 14:52;461
14/06/2015 14:55;561
14/06/2015 14:58;532
14/06/2015 15:00;626
14/06/2015 15:03;719
14/06/2015 15:06;651
14/06/2015 15:09;539
14/06/2015 15:12;578
14/06/2015 15:15;581
14/06/2015 15:18;542
14/06/2015 15:21;576
14/06/2015 15:24;523
14/06/2015 15:27;543
14/06/2015 15:30;599
14/06/2015 15:33;589
14/06/2015 15:36;603
14/06/2015 15:39;589
14/06/2015 15:42;637
14/06/2015 15:45;713
14/06/2015 15:48;669
14/06/2015 15:51;759
14/06/2015 15:54;850
14/06/2015 15:57;886
14/06/2015 17:52;1851
14/06/2015 17:55;1397
14/06/2015 17:58;1504
14/06/2015 18:00;1169
14/06/2015 18:03;939
14/06/2015 18:06;900
14/06/2015 18:09;808
14/06/2015 18:12;747
14/06/2015 18:15;669
14/06/2015 18:18;685
14/06/2015 18:21;673
14/06/2015 18:24;670
14/06/2015 18:27;618
14/06/2015 18:30;682
14/06/2015 18:33;750
14/06/2015 18:36;835
14/06/2015 18:39;680
14/06/2015 18:42;727
14/06/2015 18:45;803
14/06/2015 18:48;744
14/06/2015 18:51;657
14/06/2015 18:54;715
14/06/2015 18:57;769
14/06/2015 20:55;3150
14/06/2015 20:58;2182
14/06/2015 21:00;1744
14/06/2015 21:03;1214
14/06/2015 21:06;1098
14/06/2015 21:09;1134
14/06/2015 21:12;943
14/06/2015 21:15;921
14/06/2015 21:18;1176
14/06/2015 21:21;1029
14/06/2015 21:24;895
14/06/2015 21:27;841
14/06/2015 21:30;1026
14/06/2015 21:33;990
14/06/2015 21:36;1307
14/06/2015 21:39;1661
14/06/2015 21:42;1361
14/06/2015 21:45;1269
14/06/2015 21:48;1083
14/06/2015 21:51;1206
14/06/2015 21:54;1481
14/06/2015 21:57;1676
14/06/2015 23:55;2701
