time;count
17/06/2015 16:01;838
17/06/2015 16:04;613
17/06/2015 16:07;510
17/06/2015 16:10;535
17/06/2015 16:13;478
17/06/2015 16:16;471
17/06/2015 16:19;411
17/06/2015 16:22;387
17/06/2015 16:25;1380
17/06/2015 16:28;772
17/06/2015 16:31;540
17/06/2015 16:34;531
17/06/2015 16:37;410
17/06/2015 16:40;517
17/06/2015 16:43;454
17/06/2015 16:46;506
17/06/2015 16:49;519
17/06/2015 16:52;500
17/06/2015 16:55;524
17/06/2015 16:58;472
17/06/2015 17:00;489
17/06/2015 17:03;474
17/06/2015 17:06;405
17/06/2015 17:09;425
17/06/2015 17:12;450
17/06/2015 17:15;455
17/06/2015 17:18;415
17/06/2015 17:21;456
17/06/2015 17:24;440
17/06/2015 17:27;1195
17/06/2015 17:30;633
17/06/2015 17:33;587
17/06/2015 17:36;1596
17/06/2015 17:39;819
17/06/2015 17:42;603
17/06/2015 17:45;594
17/06/2015 17:48;505
17/06/2015 19:01;1266
17/06/2015 19:04;760
17/06/2015 19:07;715
17/06/2015 19:10;615
17/06/2015 19:13;539
17/06/2015 19:16;646
17/06/2015 19:19;648
17/06/2015 19:22;593
17/06/2015 19:25;783
17/06/2015 19:28;996
17/06/2015 19:31;986
17/06/2015 19:34;671
17/06/2015 19:37;807
17/06/2015 19:40;857
17/06/2015 19:43;718
17/06/2015 19:46;1009
17/06/2015 19:49;1187
17/06/2015 19:52;888
17/06/2015 19:55;886
17/06/2015 19:58;1308
17/06/2015 20:00;1159
17/06/2015 20:03;986
17/06/2015 20:06;711
17/06/2015 20:09;562
17/06/2015 20:12;545
17/06/2015 20:15;861
17/06/2015 20:18;660
17/06/2015 20:21;592
17/06/2015 20:24;641
17/06/2015 20:27;969
17/06/2015 20:30;763
17/06/2015 20:33;789
17/06/2015 20:36;580
17/06/2015 20:39;722
17/06/2015 20:42;765
17/06/2015 20:45;1577
17/06/2015 20:48;1152
17/06/2015 22:01;846
17/06/2015 22:04;680
17/06/2015 22:07;571
17/06/2015 22:10;560
17/06/2015 22:13;559
17/06/2015 22:16;516
17/06/2015 22:19;567
17/06/2015 22:22;531
17/06/2015 22:25;563
17/06/2015 22:28;473
17/06/2015 22:31;480
17/06/2015 22:34;410
17/06/2015 22:37;395
17/06/2015 22:40;383
17/06/2015 22:43;347
17/06/2015 22:46;416
17/06/2015 22:49;408
17/06/2015 22:52;403
17/06/2015 22:55;397
17/06/2015 22:58;443
17/06/2015 23:00;521
17/06/2015 23:03;496
17/06/2015 23:06;453
17/06/2015 23:09;445
17/06/2015 23:12;369
17/06/2015 23:15;393
17/06/2015 23:18;343
17/06/2015 23:21;322
17/06/2015 23:24;662
17/06/2015 23:27;711
17/06/2015 23:30;869
17/06/2015 23:33;582
17/06/2015 23:36;358
17/06/2015 23:39;337
17/06/2015 23:42;348
17/06/2015 23:45;334
17/06/2015 23:48;301
17/06/2015 16:02;752
17/06/2015 16:05;563
17/06/2015 16:08;512
17/06/2015 16:11;522
17/06/2015 16:14;497
17/06/2015 16:17;457
17/06/2015 16:20;463
17/06/2015 16:23;571
17/06/2015 16:26;1028
17/06/2015 16:29;657
17/06/2015 16:32;504
17/06/2015 16:35;486
17/06/2015 16:38;406
17/06/2015 16:41;448
17/06/2015 16:44;424
17/06/2015 16:47;490
17/06/2015 16:50;494
17/06/2015 16:53;484
17/06/2015 16:56;485
17/06/2015 16:59;434
17/06/2015 17:01;520
17/06/2015 17:04;460
17/06/2015 17:07;478
17/06/2015 17:10;399
17/06/2015 17:13;431
17/06/2015 17:16;449
17/06/2015 17:19;390
17/06/2015 17:22;416
17/06/2015 17:25;405
17/06/2015 17:28;1035
17/06/2015 17:31;718
17/06/2015 17:34;599
17/06/2015 17:37;1489
17/06/2015 17:40;723
17/06/2015 17:43;595
17/06/2015 17:46;501
17/06/2015 17:49;569
17/06/2015 19:02;946
17/06/2015 19:05;754
17/06/2015 19:08;711
17/06/2015 19:11;670
17/06/2015 19:14;691
17/06/2015 19:17;610
17/06/2015 19:20;669
17/06/2015 19:23;566
17/06/2015 19:26;1053
17/06/2015 19:29;872
17/06/2015 19:32;800
17/06/2015 19:35;593
17/06/2015 19:38;769
17/06/2015 19:41;702
17/06/2015 19:44;1003
17/06/2015 19:47;1335
17/06/2015 19:50;1163
17/06/2015 19:53;955
17/06/2015 19:56;826
17/06/2015 19:59;1182
17/06/2015 20:01;1088
17/06/2015 20:04;883
17/06/2015 20:07;633
17/06/2015 20:10;593
17/06/2015 20:13;731
17/06/2015 20:16;810
17/06/2015 20:19;668
17/06/2015 20:22;575
17/06/2015 20:25;907
17/06/2015 20:28;807
17/06/2015 20:31;665
17/06/2015 20:34;667
17/06/2015 20:37;724
17/06/2015 20:40;735
17/06/2015 20:43;2545
17/06/2015 20:46;1403
17/06/2015 22:02;764
17/06/2015 22:05;625
17/06/2015 22:08;564
17/06/2015 22:11;567
17/06/2015 22:14;578
17/06/2015 22:17;523
17/06/2015 22:20;481
17/06/2015 22:23;469
17/06/2015 22:26;510
17/06/2015 22:29;471
17/06/2015 22:32;424
17/06/2015 22:35;435
17/06/2015 22:38;373
17/06/2015 22:41;373
17/06/2015 22:44;382
17/06/2015 22:47;463
17/06/2015 22:50;439
17/06/2015 22:53;389
17/06/2015 22:56;374
17/06/2015 22:59;396
17/06/2015 23:01;537
17/06/2015 23:04;497
17/06/2015 23:07;405
17/06/2015 23:10;390
17/06/2015 23:13;342
17/06/2015 23:16;353
17/06/2015 23:19;333
17/06/2015 23:22;379
17/06/2015 23:25;1071
17/06/2015 23:28;533
17/06/2015 23:31;1010
17/06/2015 23:34;396
17/06/2015 23:37;423
17/06/2015 23:40;360
17/06/2015 23:43;343
17/06/2015 23:46;266
17/06/2015 23:49;306
17/06/2015 16:00;810
17/06/2015 16:03;634
17/06/2015 16:06;587
17/06/2015 16:09;500
17/06/2015 16:12;495
17/06/2015 16:15;441
17/06/2015 16:18;399
17/06/2015 16:21;433
17/06/2015 16:24;1067
17/06/2015 16:27;892
17/06/2015 16:30;581
17/06/2015 16:33;513
17/06/2015 16:36;480
17/06/2015 16:39;466
17/06/2015 16:42;400
17/06/2015 16:45;430
17/06/2015 16:48;578
17/06/2015 16:51;527
17/06/2015 16:54;519
17/06/2015 16:57;484
17/06/2015 17:02;493
17/06/2015 17:05;451
17/06/2015 17:08;464
17/06/2015 17:11;400
17/06/2015 17:14;402
17/06/2015 17:17;374
17/06/2015 17:20;439
17/06/2015 17:23;410
17/06/2015 17:26;737
17/06/2015 17:29;780
17/06/2015 17:32;607
17/06/2015 17:35;738
17/06/2015 17:38;1198
17/06/2015 17:41;529
17/06/2015 17:44;542
17/06/2015 17:47;496
17/06/2015 19:00;1581
17/06/2015 19:03;863
17/06/2015 19:06;677
17/06/2015 19:09;614
17/06/2015 19:12;647
17/06/2015 19:15;689
17/06/2015 19:18;745
17/06/2015 19:21;604
17/06/2015 19:24;728
17/06/2015 19:27;1143
17/06/2015 19:30;1123
17/06/2015 19:33;677
17/06/2015 19:36;679
17/06/2015 19:39;862
17/06/2015 19:42;912
17/06/2015 19:45;1009
17/06/2015 19:48;1290
17/06/2015 19:51;999
17/06/2015 19:54;897
17/06/2015 19:57;694
17/06/2015 20:02;1091
17/06/2015 20:05;722
17/06/2015 20:08;669
17/06/2015 20:11;521
17/06/2015 20:14;868
17/06/2015 20:17;806
17/06/2015 20:20;632
17/06/2015 20:23;619
17/06/2015 20:26;1053
17/06/2015 20:29;634
17/06/2015 20:32;666
17/06/2015 20:35;694
17/06/2015 20:38;691
17/06/2015 20:41;770
17/06/2015 20:44;2121
17/06/2015 20:47;1141
17/06/2015 22:00;1035
17/06/2015 22:03;779
17/06/2015 22:06;563
17/06/2015 22:09;561
17/06/2015 22:12;535
17/06/2015 22:15;550
17/06/2015 22:18;506
17/06/2015 22:21;535
17/06/2015 22:24;613
17/06/2015 22:27;519
17/06/2015 22:30;515
17/06/2015 22:33;441
17/06/2015 22:36;427
17/06/2015 22:39;427
17/06/2015 22:42;361
17/06/2015 22:45;392
17/06/2015 22:48;419
17/06/2015 22:51;382
17/06/2015 22:54;420
17/06/2015 22:57;346
17/06/2015 23:02;569
17/06/2015 23:05;409
17/06/2015 23:08;425
17/06/2015 23:11;372
17/06/2015 23:14;320
17/06/2015 23:17;336
17/06/2015 23:20;332
17/06/2015 23:23;346
17/06/2015 23:26;889
17/06/2015 23:29;501
17/06/2015 23:32;740
17/06/2015 23:35;363
17/06/2015 23:38;394
17/06/2015 23:41;314
17/06/2015 23:44;289
17/06/2015 23:47;321
17/06/2015 23:50;407
