time;count
25/06/2015 16:02;443
25/06/2015 16:05;2009
25/06/2015 16:08;688
25/06/2015 16:11;468
25/06/2015 16:14;396
25/06/2015 16:17;346
25/06/2015 16:20;382
25/06/2015 16:23;474
25/06/2015 16:26;421
25/06/2015 16:29;353
25/06/2015 16:32;294
25/06/2015 16:35;257
25/06/2015 16:38;445
25/06/2015 16:41;325
25/06/2015 16:44;322
25/06/2015 16:47;2234
25/06/2015 16:50;1349
25/06/2015 16:53;759
25/06/2015 16:56;629
25/06/2015 16:59;628
25/06/2015 17:01;537
25/06/2015 17:04;518
25/06/2015 17:07;1114
25/06/2015 17:10;1790
25/06/2015 17:13;532
25/06/2015 17:16;395
25/06/2015 17:19;487
25/06/2015 17:22;416
25/06/2015 17:25;369
25/06/2015 17:28;319
25/06/2015 17:31;305
25/06/2015 17:34;305
25/06/2015 17:37;278
25/06/2015 17:40;326
25/06/2015 17:43;596
25/06/2015 17:46;325
25/06/2015 17:49;366
25/06/2015 20:01;416
25/06/2015 20:04;410
25/06/2015 20:07;540
25/06/2015 20:10;401
25/06/2015 20:13;317
25/06/2015 20:16;283
25/06/2015 20:19;253
25/06/2015 20:22;262
25/06/2015 20:25;285
25/06/2015 20:28;217
25/06/2015 20:31;452
25/06/2015 20:34;374
25/06/2015 20:37;280
25/06/2015 20:40;304
25/06/2015 20:43;249
25/06/2015 20:46;261
25/06/2015 20:49;324
25/06/2015 20:52;234
25/06/2015 20:55;300
25/06/2015 20:58;296
25/06/2015 21:00;309
25/06/2015 21:03;349
25/06/2015 21:06;254
25/06/2015 21:09;398
25/06/2015 21:12;336
25/06/2015 21:15;266
25/06/2015 21:18;243
25/06/2015 21:21;245
25/06/2015 21:24;229
25/06/2015 21:27;223
25/06/2015 21:30;507
25/06/2015 21:33;457
25/06/2015 21:36;401
25/06/2015 21:39;334
25/06/2015 21:42;300
25/06/2015 21:45;287
25/06/2015 21:48;290
25/06/2015 21:51;255
25/06/2015 16:00;583
25/06/2015 16:03;1185
25/06/2015 16:06;1247
25/06/2015 16:09;604
25/06/2015 16:12;430
25/06/2015 16:15;382
25/06/2015 16:18;335
25/06/2015 16:21;328
25/06/2015 16:24;567
25/06/2015 16:27;424
25/06/2015 16:30;359
25/06/2015 16:33;290
25/06/2015 16:36;289
25/06/2015 16:39;349
25/06/2015 16:42;369
25/06/2015 16:45;353
25/06/2015 16:48;2013
25/06/2015 16:51;1075
25/06/2015 16:54;733
25/06/2015 16:57;585
25/06/2015 17:02;497
25/06/2015 17:05;454
25/06/2015 17:08;860
25/06/2015 17:11;970
25/06/2015 17:14;472
25/06/2015 17:17;347
25/06/2015 17:20;437
25/06/2015 17:23;364
25/06/2015 17:26;360
25/06/2015 17:29;313
25/06/2015 17:32;287
25/06/2015 17:35;271
25/06/2015 17:38;321
25/06/2015 17:41;459
25/06/2015 17:44;437
25/06/2015 17:47;340
25/06/2015 17:50;440
25/06/2015 20:02;389
25/06/2015 20:05;392
25/06/2015 20:08;529
25/06/2015 20:11;340
25/06/2015 20:14;308
25/06/2015 20:17;314
25/06/2015 20:20;256
25/06/2015 20:23;280
25/06/2015 20:26;261
25/06/2015 20:29;230
25/06/2015 20:32;508
25/06/2015 20:35;417
25/06/2015 20:38;340
25/06/2015 20:41;278
25/06/2015 20:44;292
25/06/2015 20:47;327
25/06/2015 20:50;319
25/06/2015 20:53;242
25/06/2015 20:56;280
25/06/2015 20:59;322
25/06/2015 21:01;278
25/06/2015 21:04;322
25/06/2015 21:07;287
25/06/2015 21:10;334
25/06/2015 21:13;272
25/06/2015 21:16;278
25/06/2015 21:19;241
25/06/2015 21:22;214
25/06/2015 21:25;196
25/06/2015 21:28;203
25/06/2015 21:31;451
25/06/2015 21:34;534
25/06/2015 21:37;356
25/06/2015 21:40;316
25/06/2015 21:43;340
25/06/2015 21:46;258
25/06/2015 21:49;275
25/06/2015 16:01;469
25/06/2015 16:04;1724
25/06/2015 16:07;877
25/06/2015 16:10;530
25/06/2015 16:13;399
25/06/2015 16:16;344
25/06/2015 16:19;407
25/06/2015 16:22;306
25/06/2015 16:25;565
25/06/2015 16:28;318
25/06/2015 16:31;307
25/06/2015 16:34;246
25/06/2015 16:37;305
25/06/2015 16:40;363
25/06/2015 16:43;302
25/06/2015 16:46;1051
25/06/2015 16:49;1593
25/06/2015 16:52;855
25/06/2015 16:55;619
25/06/2015 16:58;616
25/06/2015 17:00;610
25/06/2015 17:03;426
25/06/2015 17:06;488
25/06/2015 17:09;1141
25/06/2015 17:12;661
25/06/2015 17:15;519
25/06/2015 17:18;519
25/06/2015 17:21;357
25/06/2015 17:24;398
25/06/2015 17:27;282
25/06/2015 17:30;328
25/06/2015 17:33;289
25/06/2015 17:36;299
25/06/2015 17:39;324
25/06/2015 17:42;738
25/06/2015 17:45;384
25/06/2015 17:48;338
25/06/2015 17:51;390
25/06/2015 20:00;538
25/06/2015 20:03;450
25/06/2015 20:06;452
25/06/2015 20:09;456
25/06/2015 20:12;350
25/06/2015 20:15;267
25/06/2015 20:18;285
25/06/2015 20:21;232
25/06/2015 20:24;266
25/06/2015 20:27;224
25/06/2015 20:30;285
25/06/2015 20:33;382
25/06/2015 20:36;303
25/06/2015 20:39;303
25/06/2015 20:42;275
25/06/2015 20:45;252
25/06/2015 20:48;384
25/06/2015 20:51;264
25/06/2015 20:54;265
25/06/2015 20:57;277
25/06/2015 21:02;271
25/06/2015 21:05;312
25/06/2015 21:08;366
25/06/2015 21:11;307
25/06/2015 21:14;238
25/06/2015 21:17;233
25/06/2015 21:20;254
25/06/2015 21:23;226
25/06/2015 21:26;236
25/06/2015 21:29;321
25/06/2015 21:32;509
25/06/2015 21:35;464
25/06/2015 21:38;309
25/06/2015 21:41;297
25/06/2015 21:44;232
25/06/2015 21:47;256
25/06/2015 21:50;270
