time;count
23/06/2015 14:00;367
23/06/2015 14:03;230
23/06/2015 14:06;223
23/06/2015 14:09;254
23/06/2015 14:12;169
23/06/2015 14:15;218
23/06/2015 14:18;192
23/06/2015 14:21;191
23/06/2015 14:24;191
23/06/2015 14:27;198
23/06/2015 14:30;226
23/06/2015 14:33;270
23/06/2015 14:36;250
23/06/2015 14:39;242
23/06/2015 14:42;252
23/06/2015 14:45;334
23/06/2015 14:48;288
23/06/2015 14:51;256
23/06/2015 14:54;237
23/06/2015 14:57;1
23/06/2015 15:05;1
23/06/2015 15:08;1
23/06/2015 15:11;2
23/06/2015 15:14;12
23/06/2015 15:17;48
23/06/2015 15:20;303
23/06/2015 15:23;281
23/06/2015 15:26;317
23/06/2015 15:29;359
23/06/2015 15:32;388
23/06/2015 15:35;411
23/06/2015 15:38;353
23/06/2015 15:41;314
23/06/2015 15:44;332
23/06/2015 15:47;313
23/06/2015 15:50;460
23/06/2015 15:53;477
23/06/2015 15:56;517
23/06/2015 15:59;548
23/06/2015 16:01;668
23/06/2015 16:04;493
23/06/2015 16:07;527
23/06/2015 16:10;427
23/06/2015 16:13;385
23/06/2015 16:16;395
23/06/2015 16:19;401
23/06/2015 16:22;327
23/06/2015 16:25;343
23/06/2015 16:28;423
23/06/2015 16:31;328
23/06/2015 16:34;323
23/06/2015 16:37;679
23/06/2015 16:40;512
23/06/2015 16:43;400
23/06/2015 16:46;501
23/06/2015 16:49;495
23/06/2015 16:52;390
23/06/2015 16:55;423
23/06/2015 16:58;368
23/06/2015 17:00;490
23/06/2015 17:03;473
23/06/2015 17:06;332
23/06/2015 17:09;304
23/06/2015 17:12;295
23/06/2015 17:15;355
23/06/2015 17:18;280
23/06/2015 17:21;555
23/06/2015 17:24;482
23/06/2015 17:27;660
23/06/2015 17:30;702
23/06/2015 17:33;468
23/06/2015 17:36;1146
23/06/2015 17:39;518
23/06/2015 17:42;649
23/06/2015 17:45;510
23/06/2015 17:48;408
23/06/2015 17:51;1699
23/06/2015 17:54;1180
23/06/2015 17:57;1349
23/06/2015 18:02;779
23/06/2015 18:05;656
23/06/2015 18:08;506
23/06/2015 18:11;453
23/06/2015 18:14;413
23/06/2015 18:17;348
23/06/2015 18:20;372
23/06/2015 18:23;381
23/06/2015 18:26;351
23/06/2015 18:29;311
23/06/2015 18:32;350
23/06/2015 18:35;310
23/06/2015 18:38;338
23/06/2015 18:41;439
23/06/2015 18:44;400
23/06/2015 18:47;326
23/06/2015 18:50;390
23/06/2015 18:53;343
23/06/2015 18:56;394
23/06/2015 18:59;404
23/06/2015 19:01;396
23/06/2015 19:04;381
23/06/2015 19:07;367
23/06/2015 19:10;390
23/06/2015 19:13;367
23/06/2015 19:16;315
23/06/2015 19:19;314
23/06/2015 19:22;356
23/06/2015 19:25;294
23/06/2015 19:28;365
23/06/2015 19:31;313
23/06/2015 19:34;357
23/06/2015 19:37;321
23/06/2015 19:40;403
23/06/2015 19:43;569
23/06/2015 19:46;447
23/06/2015 19:49;421
23/06/2015 19:52;475
23/06/2015 19:55;603
23/06/2015 19:58;680
23/06/2015 15:42;319
23/06/2015 15:45;359
23/06/2015 15:48;324
23/06/2015 15:51;459
23/06/2015 15:54;550
23/06/2015 15:57;555
23/06/2015 16:02;549
23/06/2015 16:05;601
23/06/2015 16:08;275
23/06/2015 16:11;358
23/06/2015 16:14;407
23/06/2015 16:17;384
23/06/2015 16:20;367
23/06/2015 16:23;358
23/06/2015 16:26;368
23/06/2015 16:29;371
23/06/2015 16:32;315
23/06/2015 16:35;345
23/06/2015 16:38;649
23/06/2015 16:41;460
23/06/2015 16:44;399
23/06/2015 16:47;516
23/06/2015 16:50;512
23/06/2015 16:53;430
23/06/2015 16:56;387
23/06/2015 16:59;389
