time;count
16/06/2015 16:02;1265
16/06/2015 16:05;959
16/06/2015 16:08;1364
16/06/2015 16:11;2022
16/06/2015 16:14;1405
16/06/2015 16:17;991
16/06/2015 16:20;872
16/06/2015 16:23;719
16/06/2015 16:26;860
16/06/2015 16:29;748
16/06/2015 16:32;2674
16/06/2015 16:35;1198
16/06/2015 16:38;2307
16/06/2015 16:41;1348
16/06/2015 16:44;1017
16/06/2015 16:47;2532
16/06/2015 16:50;1580
16/06/2015 16:53;1199
16/06/2015 16:56;1227
16/06/2015 16:59;1119
16/06/2015 17:01;1157
16/06/2015 17:04;1025
16/06/2015 17:07;830
16/06/2015 17:10;788
16/06/2015 17:13;760
16/06/2015 17:16;801
16/06/2015 17:19;683
16/06/2015 17:22;646
16/06/2015 17:25;770
16/06/2015 17:28;680
16/06/2015 17:31;742
16/06/2015 17:34;652
16/06/2015 17:37;1288
16/06/2015 17:40;2477
16/06/2015 17:43;1440
16/06/2015 17:46;936
16/06/2015 17:49;979
16/06/2015 19:02;664
16/06/2015 19:05;603
16/06/2015 19:08;587
16/06/2015 19:11;575
16/06/2015 19:14;545
16/06/2015 19:17;532
16/06/2015 19:20;546
16/06/2015 19:23;638
16/06/2015 19:26;540
16/06/2015 19:29;525
16/06/2015 19:32;515
16/06/2015 19:35;524
16/06/2015 19:38;521
16/06/2015 19:41;485
16/06/2015 19:44;456
16/06/2015 19:47;602
16/06/2015 19:50;670
16/06/2015 19:53;580
16/06/2015 19:56;522
16/06/2015 19:59;488
16/06/2015 20:01;515
16/06/2015 20:04;552
16/06/2015 20:07;518
16/06/2015 20:10;625
16/06/2015 20:13;570
16/06/2015 20:16;543
16/06/2015 20:19;631
16/06/2015 20:22;575
16/06/2015 20:25;604
16/06/2015 20:28;533
16/06/2015 20:31;576
16/06/2015 20:34;561
16/06/2015 20:37;578
16/06/2015 20:40;580
16/06/2015 20:43;614
16/06/2015 20:46;560
16/06/2015 20:49;500
16/06/2015 22:02;6195
16/06/2015 22:05;5215
16/06/2015 22:08;3140
16/06/2015 22:11;2512
16/06/2015 22:14;1620
16/06/2015 22:17;1504
16/06/2015 22:20;1781
16/06/2015 22:23;1495
16/06/2015 22:26;1145
16/06/2015 22:29;992
16/06/2015 22:32;821
16/06/2015 22:35;936
16/06/2015 22:38;1285
16/06/2015 22:41;992
16/06/2015 22:44;844
16/06/2015 22:47;606
16/06/2015 22:50;758
16/06/2015 22:53;1093
16/06/2015 22:56;823
16/06/2015 22:59;820
16/06/2015 23:01;755
16/06/2015 23:04;942
16/06/2015 23:07;919
16/06/2015 23:10;788
16/06/2015 23:13;642
16/06/2015 23:16;616
16/06/2015 23:19;595
16/06/2015 23:22;550
16/06/2015 23:25;713
16/06/2015 23:28;640
16/06/2015 23:31;568
16/06/2015 23:34;483
16/06/2015 23:37;547
16/06/2015 23:40;505
16/06/2015 23:43;780
16/06/2015 23:46;1115
16/06/2015 23:49;5684
16/06/2015 23:52;2074
16/06/2015 16:00;1967
16/06/2015 16:03;1111
16/06/2015 16:06;903
16/06/2015 16:09;1289
16/06/2015 16:12;2556
16/06/2015 16:15;1191
16/06/2015 16:18;918
16/06/2015 16:21;869
16/06/2015 16:24;841
16/06/2015 16:27;776
16/06/2015 16:30;710
16/06/2015 16:33;2366
16/06/2015 16:36;1054
16/06/2015 16:39;1904
16/06/2015 16:42;1366
16/06/2015 16:45;1162
16/06/2015 16:48;2013
16/06/2015 16:51;1412
16/06/2015 16:54;1147
16/06/2015 16:57;1227
16/06/2015 17:02;977
16/06/2015 17:05;1100
16/06/2015 17:08;784
16/06/2015 17:11;775
16/06/2015 17:14;749
16/06/2015 17:17;731
16/06/2015 17:20;708
16/06/2015 17:23;750
16/06/2015 17:26;714
16/06/2015 17:29;683
16/06/2015 17:32;813
16/06/2015 17:35;835
16/06/2015 17:38;3377
16/06/2015 17:41;2337
16/06/2015 17:44;1219
16/06/2015 17:47;965
16/06/2015 19:00;846
16/06/2015 19:03;557
16/06/2015 19:06;570
16/06/2015 19:09;677
16/06/2015 19:12;528
16/06/2015 19:15;578
16/06/2015 19:18;567
16/06/2015 19:21;615
16/06/2015 19:24;556
16/06/2015 19:27;579
16/06/2015 19:30;597
16/06/2015 19:33;501
16/06/2015 19:36;520
16/06/2015 19:39;523
16/06/2015 19:42;563
16/06/2015 19:45;606
16/06/2015 19:48;667
16/06/2015 19:51;611
