time;count
24/06/2015 14:02;257
24/06/2015 14:05;216
24/06/2015 14:08;236
24/06/2015 14:11;194
24/06/2015 14:14;184
24/06/2015 14:17;212
24/06/2015 14:20;252
24/06/2015 14:23;216
24/06/2015 14:26;202
24/06/2015 14:29;233
24/06/2015 14:32;238
24/06/2015 14:35;192
24/06/2015 14:38;213
24/06/2015 14:41;266
24/06/2015 14:44;228
24/06/2015 14:47;203
24/06/2015 14:50;253
24/06/2015 14:53;208
24/06/2015 14:56;222
24/06/2015 14:59;264
24/06/2015 15:01;309
24/06/2015 15:04;294
24/06/2015 15:07;249
24/06/2015 15:10;267
24/06/2015 15:13;303
24/06/2015 15:16;327
24/06/2015 15:19;303
24/06/2015 15:22;252
24/06/2015 15:25;248
24/06/2015 15:28;238
24/06/2015 15:31;267
24/06/2015 15:34;233
24/06/2015 15:37;254
24/06/2015 15:40;279
24/06/2015 15:43;328
24/06/2015 15:46;441
24/06/2015 15:49;562
24/06/2015 15:52;658
24/06/2015 15:55;745
24/06/2015 15:58;641
24/06/2015 16:00;856
24/06/2015 16:03;574
24/06/2015 16:06;457
24/06/2015 16:09;479
24/06/2015 16:12;402
24/06/2015 16:15;411
24/06/2015 16:18;393
24/06/2015 16:21;374
24/06/2015 16:24;381
24/06/2015 16:27;450
24/06/2015 16:30;431
24/06/2015 16:33;476
24/06/2015 16:36;326
24/06/2015 16:39;356
24/06/2015 16:42;296
24/06/2015 16:45;299
24/06/2015 16:48;480
24/06/2015 16:51;363
24/06/2015 16:54;377
24/06/2015 16:57;336
24/06/2015 17:02;288
24/06/2015 17:05;373
24/06/2015 17:08;461
24/06/2015 17:11;313
24/06/2015 17:14;311
24/06/2015 17:17;354
24/06/2015 17:20;537
24/06/2015 17:23;399
24/06/2015 17:26;405
24/06/2015 17:29;313
24/06/2015 17:32;307
24/06/2015 17:35;306
24/06/2015 17:38;452
24/06/2015 17:41;1666
24/06/2015 17:44;917
24/06/2015 17:47;578
24/06/2015 17:50;625
24/06/2015 17:53;888
24/06/2015 17:56;2620
24/06/2015 17:59;1697
24/06/2015 18:01;1514
24/06/2015 18:04;1322
24/06/2015 18:07;1074
24/06/2015 18:10;1020
24/06/2015 18:13;905
24/06/2015 18:16;805
24/06/2015 18:19;671
24/06/2015 18:22;606
24/06/2015 18:25;637
24/06/2015 18:28;642
24/06/2015 18:31;522
24/06/2015 18:34;557
24/06/2015 18:37;412
24/06/2015 18:40;520
24/06/2015 18:43;410
24/06/2015 18:46;436
24/06/2015 18:49;449
24/06/2015 18:52;531
24/06/2015 18:55;455
24/06/2015 18:58;405
24/06/2015 19:00;381
24/06/2015 19:03;363
24/06/2015 19:06;351
24/06/2015 19:09;375
24/06/2015 19:12;334
24/06/2015 19:15;351
24/06/2015 19:18;324
24/06/2015 19:21;373
24/06/2015 19:24;360
24/06/2015 19:27;294
24/06/2015 19:30;364
24/06/2015 19:33;469
24/06/2015 19:36;556
24/06/2015 19:39;486
24/06/2015 19:42;462
24/06/2015 19:45;444
24/06/2015 19:48;437
24/06/2015 19:51;368
24/06/2015 19:54;445
24/06/2015 19:57;553
24/06/2015 15:53;644
24/06/2015 15:56;707
24/06/2015 15:59;660
24/06/2015 16:01;754
24/06/2015 16:04;513
24/06/2015 16:07;433
24/06/2015 16:10;496
24/06/2015 16:13;448
24/06/2015 16:16;342
24/06/2015 16:19;337
24/06/2015 16:22;349
24/06/2015 16:25;372
24/06/2015 16:28;461
24/06/2015 16:31;380
24/06/2015 16:34;388
24/06/2015 16:37;329
24/06/2015 16:40;353
24/06/2015 16:43;261
24/06/2015 16:46;322
24/06/2015 16:49;461
24/06/2015 16:52;380
24/06/2015 16:55;362
24/06/2015 16:58;341
24/06/2015 17:00;339
24/06/2015 17:03;353
24/06/2015 17:06;339
24/06/2015 17:09;427
24/06/2015 17:12;310
24/06/2015 17:15;329
24/06/2015 17:18;415
24/06/2015 17:21;519
24/06/2015 17:24;426
24/06/2015 17:27;318
24/06/2015 17:30;323
24/06/2015 17:33;297
24/06/2015 17:36;322
24/06/2015 17:39;800
24/06/2015 17:42;1309
24/06/2015 17:45;883
24/06/2015 17:48;641
24/06/2015 17:51;647
24/06/2015 17:54;966
24/06/2015 17:57;2331
