"";"time";"count"
"7024";2015-06-13 14:02:00;765
"7025";2015-06-13 14:05:00;886
"7026";2015-06-13 14:08:00;806
"7027";2015-06-13 14:11:00;803
"7028";2015-06-13 14:14:00;738
"7029";2015-06-13 14:17:00;694
"7030";2015-06-13 14:20:00;701
"7031";2015-06-13 14:23:00;763
"7032";2015-06-13 14:26:00;777
"7033";2015-06-13 14:29:00;781
"7034";2015-06-13 14:32:00;857
"7035";2015-06-13 14:35:00;798
"7036";2015-06-13 14:38:00;810
"7037";2015-06-13 14:41:00;883
"7038";2015-06-13 14:44:00;841
"7039";2015-06-13 14:47:00;808
"7040";2015-06-13 14:50:00;789
"7041";2015-06-13 14:53:00;882
"7042";2015-06-13 14:56:00;841
"7043";2015-06-13 14:59:00;793
"7044";2015-06-13 15:01:00;806
"7045";2015-06-13 15:04:00;784
"7046";2015-06-13 15:07:00;813
"7047";2015-06-13 15:10:00;866
"7048";2015-06-13 15:13:00;1003
"7049";2015-06-13 15:16:00;858
"7050";2015-06-13 15:19:00;762
"7051";2015-06-13 15:22:00;762
"7052";2015-06-13 15:25:00;893
"7053";2015-06-13 15:28:00;769
"7054";2015-06-13 15:31:00;969
"7055";2015-06-13 15:34:00;918
"7056";2015-06-13 15:37:00;1113
"7057";2015-06-13 15:40:00;1324
"7058";2015-06-13 15:43:00;1166
"7059";2015-06-13 15:46:00;1188
"7060";2015-06-13 15:49:00;1194
"7061";2015-06-13 15:52:00;1221
"7062";2015-06-13 15:55:00;1370
"7063";2015-06-13 15:58:00;1516
"7101";2015-06-13 17:53:00;1258
"7102";2015-06-13 17:56:00;2666
"7103";2015-06-13 17:59:00;1794
"7104";2015-06-13 18:01:00;1587
"7105";2015-06-13 18:04:00;1535
"7106";2015-06-13 18:07:00;1244
"7107";2015-06-13 18:10:00;1173
"7108";2015-06-13 18:13:00;1465
"7109";2015-06-13 18:16:00;1254
"7110";2015-06-13 18:19:00;1218
"7111";2015-06-13 18:22:00;1224
"7112";2015-06-13 18:25:00;1036
"7113";2015-06-13 18:28:00;1034
"7114";2015-06-13 18:31:00;1184
"7115";2015-06-13 18:34:00;1293
"7116";2015-06-13 18:37:00;1236
"7117";2015-06-13 18:40:00;1729
"7118";2015-06-13 18:43:00;1432
"7119";2015-06-13 18:46:00;1357
"7120";2015-06-13 18:49:00;1280
"7121";2015-06-13 18:52:00;1338
"7122";2015-06-13 18:55:00;1800
"7123";2015-06-13 18:58:00;1758
"7160";2015-06-13 20:50:00;1982
"7161";2015-06-13 20:53:00;2886
"7162";2015-06-13 20:56:00;2922
"7163";2015-06-13 20:59:00;2503
"7164";2015-06-13 21:01:00;2427
"7165";2015-06-13 21:04:00;1792
"7166";2015-06-13 21:07:00;1579
"7167";2015-06-13 21:10:00;1777
"7168";2015-06-13 21:13:00;1470
"7169";2015-06-13 21:16:00;1319
"7170";2015-06-13 21:19:00;1201
"7171";2015-06-13 21:22:00;1276
"7172";2015-06-13 21:25:00;1162
"7173";2015-06-13 21:28:00;1098
"7174";2015-06-13 21:31:00;1038
"7175";2015-06-13 21:34:00;1008
"7176";2015-06-13 21:37:00;1011
"7177";2015-06-13 21:40:00;1006
"7178";2015-06-13 21:43:00;847
"7179";2015-06-13 21:46:00;1159
"7180";2015-06-13 21:49:00;1143
"7181";2015-06-13 21:52:00;966
"7182";2015-06-13 21:55:00;972
