time;count
20/06/2015 14:02;216
20/06/2015 14:05;225
20/06/2015 14:08;199
20/06/2015 14:11;204
20/06/2015 14:14;227
20/06/2015 14:17;213
20/06/2015 14:20;212
20/06/2015 14:23;182
20/06/2015 14:26;251
20/06/2015 14:29;260
20/06/2015 14:32;274
20/06/2015 14:35;268
20/06/2015 14:38;250
20/06/2015 14:41;247
20/06/2015 14:44;248
20/06/2015 14:47;212
20/06/2015 14:50;267
20/06/2015 14:53;352
20/06/2015 14:56;306
20/06/2015 14:59;250
20/06/2015 15:01;305
20/06/2015 15:04;308
20/06/2015 15:07;289
20/06/2015 15:10;348
20/06/2015 15:13;313
20/06/2015 15:16;354
20/06/2015 15:19;293
20/06/2015 15:22;307
20/06/2015 15:25;326
20/06/2015 15:28;263
20/06/2015 15:31;313
20/06/2015 15:34;331
20/06/2015 15:37;288
20/06/2015 15:40;389
20/06/2015 15:43;327
20/06/2015 15:46;413
20/06/2015 15:49;429
20/06/2015 15:52;405
20/06/2015 15:55;614
20/06/2015 15:58;663
20/06/2015 17:53;2279
20/06/2015 17:56;3191
20/06/2015 17:59;1893
20/06/2015 18:01;1484
20/06/2015 18:04;1229
20/06/2015 18:07;927
20/06/2015 18:10;834
20/06/2015 18:13;710
20/06/2015 18:16;647
20/06/2015 18:19;547
20/06/2015 18:22;467
20/06/2015 18:25;420
20/06/2015 18:28;441
20/06/2015 18:31;406
20/06/2015 18:34;401
20/06/2015 18:37;336
20/06/2015 18:40;450
20/06/2015 18:43;352
20/06/2015 18:46;389
20/06/2015 18:49;986
20/06/2015 18:52;767
20/06/2015 18:55;693
20/06/2015 18:58;579
20/06/2015 20:53;1165
20/06/2015 20:56;976
20/06/2015 20:59;676
20/06/2015 21:01;583
20/06/2015 21:04;547
20/06/2015 21:07;443
20/06/2015 21:10;406
20/06/2015 21:13;387
20/06/2015 21:16;335
20/06/2015 21:19;354
20/06/2015 21:22;338
20/06/2015 21:25;302
20/06/2015 21:28;325
20/06/2015 21:31;287
20/06/2015 21:34;237
20/06/2015 21:37;279
20/06/2015 21:40;322
20/06/2015 21:43;323
20/06/2015 21:46;268
20/06/2015 21:49;218
20/06/2015 21:52;273
20/06/2015 21:55;311
20/06/2015 21:58;301
20/06/2015 23:53;417
20/06/2015 23:56;519
20/06/2015 23:59;395
21/06/2015 00:02;282
21/06/2015 00:05;357
21/06/2015 00:08;220
21/06/2015 00:11;216
21/06/2015 00:14;197
21/06/2015 00:17;188
21/06/2015 00:20;233
21/06/2015 00:23;200
21/06/2015 00:26;235
21/06/2015 00:29;203
21/06/2015 00:32;198
21/06/2015 00:35;214
21/06/2015 00:38;189
21/06/2015 00:41;215
21/06/2015 00:44;173
21/06/2015 00:47;169
21/06/2015 00:50;171
21/06/2015 00:53;160
21/06/2015 00:56;147
21/06/2015 00:59;123
21/06/2015 01:01;372
21/06/2015 01:04;329
21/06/2015 01:07;214
21/06/2015 01:10;470
21/06/2015 01:13;300
21/06/2015 01:16;210
21/06/2015 01:19;174
21/06/2015 01:22;144
21/06/2015 01:25;115
21/06/2015 01:28;122
21/06/2015 01:31;142
21/06/2015 01:34;139
