"";"time";"count"
"22134";2015-06-13 17:33:00;1244
"22135";2015-06-13 17:36:00;1012
"22136";2015-06-13 17:39:00;984
"22137";2015-06-13 17:42:00;968
"22138";2015-06-13 17:45:00;847
"22139";2015-06-13 17:48:00;915
"22140";2015-06-13 17:51:00;979
"22163";2015-06-13 19:01:00;2164
"22164";2015-06-13 19:04:00;1467
"22165";2015-06-13 19:07:00;1187
"22166";2015-06-13 19:10:00;1209
"22167";2015-06-13 19:13:00;1108
"22168";2015-06-13 19:16:00;1006
"22169";2015-06-13 19:19:00;905
"22170";2015-06-13 19:22:00;877
"22171";2015-06-13 19:25:00;843
"22172";2015-06-13 19:28:00;3483
"22173";2015-06-13 19:31:00;1881
"22174";2015-06-13 19:34:00;1628
"22175";2015-06-13 19:37:00;1307
"22176";2015-06-13 19:40:00;1270
"22177";2015-06-13 19:43:00;1209
"22178";2015-06-13 19:46:00;4237
"22179";2015-06-13 19:49:00;2721
"22180";2015-06-13 19:52:00;2093
"22181";2015-06-13 19:55:00;2019
"22182";2015-06-13 19:58:00;1739
"22183";2015-06-13 20:00:00;1838
"22184";2015-06-13 20:03:00;1486
"22185";2015-06-13 20:06:00;1106
"22186";2015-06-13 20:09:00;1030
"22187";2015-06-13 20:12:00;2621
"22188";2015-06-13 20:15:00;1440
"22189";2015-06-13 20:18:00;1639
"22190";2015-06-13 20:21:00;1276
"22191";2015-06-13 20:24:00;2494
"22192";2015-06-13 20:27:00;2001
"22193";2015-06-13 20:30:00;3620
"22194";2015-06-13 20:33:00;2958
"22195";2015-06-13 20:36:00;2081
"22196";2015-06-13 20:39:00;3515
"22197";2015-06-13 20:42:00;2879
"22198";2015-06-13 20:45:00;2271
"22199";2015-06-13 20:48:00;2140
"22223";2015-06-13 22:01:00;2720
"22224";2015-06-13 22:04:00;1857
"22225";2015-06-13 22:07:00;1507
"22226";2015-06-13 22:10:00;1317
"22227";2015-06-13 22:13:00;1975
"22228";2015-06-13 22:16:00;1731
"22229";2015-06-13 22:19:00;1440
"22230";2015-06-13 22:22:00;1210
"22231";2015-06-13 22:25:00;1039
"22232";2015-06-13 22:28:00;1055
"22233";2015-06-13 22:31:00;995
"22234";2015-06-13 22:34:00;864
"22235";2015-06-13 22:37:00;1582
"22236";2015-06-13 22:40:00;1118
"22237";2015-06-13 22:43:00;937
"22238";2015-06-13 22:46:00;865
"22239";2015-06-13 22:49:00;885
"22240";2015-06-13 22:52:00;779
"22241";2015-06-13 22:55:00;816
"22242";2015-06-13 22:58:00;750
"22243";2015-06-13 23:00:00;819
"22244";2015-06-13 23:03:00;827
"22245";2015-06-13 23:06:00;673
"22246";2015-06-13 23:09:00;697
"22247";2015-06-13 23:12:00;753
"22248";2015-06-13 23:15:00;843
"22249";2015-06-13 23:18:00;674
"22250";2015-06-13 23:21:00;811
"22251";2015-06-13 23:24:00;676
"22252";2015-06-13 23:27:00;654
"22253";2015-06-13 23:30:00;671
"22254";2015-06-13 23:33:00;638
"22255";2015-06-13 23:36:00;664
"22256";2015-06-13 23:39:00;626
"22257";2015-06-13 23:42:00;661
"22258";2015-06-13 23:45:00;618
"22259";2015-06-13 23:48:00;616
"37149";2015-06-13 16:02:00;1947
"37150";2015-06-13 16:05:00;1362
"37151";2015-06-13 16:08:00;1059
"37152";2015-06-13 16:11:00;1123
"37153";2015-06-13 16:14:00;1602
"37154";2015-06-13 16:17:00;1121
"37155";2015-06-13 16:20:00;1044
"37156";2015-06-13 16:23:00;1139
"37157";2015-06-13 16:26:00;1062
"37158";2015-06-13 16:29:00;1102
"37159";2015-06-13 16:32:00;2998
"37160";2015-06-13 16:35:00;1695
"37161";2015-06-13 16:38:00;1352
"37162";2015-06-13 16:41:00;1335
"37163";2015-06-13 16:44:00;1282
"37164";2015-06-13 16:47:00;1132
"37165";2015-06-13 16:50:00;1430
"37166";2015-06-13 16:53:00;1314
"37167";2015-06-13 16:56:00;1205
"37168";2015-06-13 16:59:00;1141
"37169";2015-06-13 17:01:00;1201
"37170";2015-06-13 17:04:00;1099
"37171";2015-06-13 17:07:00;1155
"37172";2015-06-13 17:10:00;1038
"37173";2015-06-13 17:13:00;978
"37174";2015-06-13 17:16:00;1052
"37175";2015-06-13 17:19:00;870
"37176";2015-06-13 17:22:00;2374
"37177";2015-06-13 17:25:00;1925
"37178";2015-06-13 17:28:00;1293
"37179";2015-06-13 17:31:00;1223
"37180";2015-06-13 17:34:00;1200
"37181";2015-06-13 17:37:00;983
"37182";2015-06-13 17:40:00;982
"37183";2015-06-13 17:43:00;973
"37184";2015-06-13 17:46:00;807
"37185";2015-06-13 17:49:00;992
"37209";2015-06-13 19:02:00;1637
"37210";2015-06-13 19:05:00;1263
"37211";2015-06-13 19:08:00;1138
"37212";2015-06-13 19:11:00;1149
"37213";2015-06-13 19:14:00;1047
"37214";2015-06-13 19:17:00;980
"37215";2015-06-13 19:20:00;888
"37216";2015-06-13 19:23:00;928
"37217";2015-06-13 19:26:00;1279
"37218";2015-06-13 19:29:00;2794
"37219";2015-06-13 19:32:00;1818
"37220";2015-06-13 19:35:00;1386
"37221";2015-06-13 19:38:00;1252
"37222";2015-06-13 19:41:00;1158
"37223";2015-06-13 19:44:00;2372
"37224";2015-06-13 19:47:00;3783
"37225";2015-06-13 19:50:00;2613
"37226";2015-06-13 19:53:00;2253
"37227";2015-06-13 19:56:00;1906
"37228";2015-06-13 19:59:00;1503
"37229";2015-06-13 20:01:00;1533
"37230";2015-06-13 20:04:00;1289
"37231";2015-06-13 20:07:00;1079
"37232";2015-06-13 20:10:00;3238
"37233";2015-06-13 20:13:00;2082
"37234";2015-06-13 20:16:00;1332
"37235";2015-06-13 20:19:00;1540
"37236";2015-06-13 20:22:00;2593
"37237";2015-06-13 20:25:00;2573
"37238";2015-06-13 20:28:00;1851
"37239";2015-06-13 20:31:00;3526
"37240";2015-06-13 20:34:00;2607
"37241";2015-06-13 20:37:00;2636
"37242";2015-06-13 20:40:00;3312
"37243";2015-06-13 20:43:00;2556
"37244";2015-06-13 20:46:00;2498
"37245";2015-06-13 20:49:00;2319
"37269";2015-06-13 22:02:00;2435
"37270";2015-06-13 22:05:00;1647
"37271";2015-06-13 22:08:00;1481
