time;count
25/06/2015 14:01;192
25/06/2015 14:04;185
25/06/2015 14:07;261
25/06/2015 14:10;283
25/06/2015 14:13;262
25/06/2015 14:16;199
25/06/2015 14:19;174
25/06/2015 14:22;187
25/06/2015 14:25;201
25/06/2015 14:28;183
25/06/2015 14:31;389
25/06/2015 14:34;290
25/06/2015 14:37;298
25/06/2015 14:40;278
25/06/2015 14:43;241
25/06/2015 14:46;275
25/06/2015 14:49;362
25/06/2015 14:52;320
25/06/2015 14:55;271
25/06/2015 14:58;239
25/06/2015 15:00;341
25/06/2015 15:03;292
25/06/2015 15:06;317
25/06/2015 15:09;274
25/06/2015 15:12;252
25/06/2015 15:15;247
25/06/2015 15:18;276
25/06/2015 15:21;486
25/06/2015 15:24;297
25/06/2015 15:27;293
25/06/2015 15:30;322
25/06/2015 15:33;246
25/06/2015 15:36;280
25/06/2015 15:39;261
25/06/2015 15:42;372
25/06/2015 15:45;341
25/06/2015 15:48;356
25/06/2015 15:51;436
25/06/2015 15:54;338
25/06/2015 15:57;446
25/06/2015 16:02;443
25/06/2015 16:05;2009
25/06/2015 16:08;688
25/06/2015 16:11;468
25/06/2015 16:14;396
25/06/2015 16:17;346
25/06/2015 16:20;382
25/06/2015 16:23;474
25/06/2015 16:26;421
25/06/2015 16:29;353
25/06/2015 16:32;294
25/06/2015 16:35;257
25/06/2015 16:38;445
25/06/2015 16:41;325
25/06/2015 16:44;322
25/06/2015 16:47;2234
25/06/2015 16:50;1349
25/06/2015 16:53;759
25/06/2015 16:56;629
25/06/2015 16:59;628
25/06/2015 17:01;537
25/06/2015 17:04;518
25/06/2015 17:07;1114
25/06/2015 17:10;1790
25/06/2015 17:13;532
25/06/2015 17:16;395
25/06/2015 17:19;487
25/06/2015 17:22;416
25/06/2015 17:25;369
25/06/2015 17:28;319
25/06/2015 17:31;305
25/06/2015 17:34;305
25/06/2015 17:37;278
25/06/2015 17:40;326
25/06/2015 17:43;596
25/06/2015 17:46;325
25/06/2015 17:49;366
25/06/2015 17:52;507
25/06/2015 17:55;1017
25/06/2015 17:58;586
25/06/2015 18:00;682
25/06/2015 18:03;472
25/06/2015 18:06;590
25/06/2015 18:09;481
25/06/2015 18:12;476
25/06/2015 18:15;388
25/06/2015 18:18;343
25/06/2015 18:21;287
25/06/2015 18:24;300
25/06/2015 18:27;285
25/06/2015 18:30;347
25/06/2015 18:33;292
25/06/2015 18:36;251
25/06/2015 18:39;295
25/06/2015 18:42;303
25/06/2015 18:45;274
25/06/2015 18:48;266
25/06/2015 18:51;331
25/06/2015 18:54;261
25/06/2015 18:57;280
25/06/2015 19:02;269
25/06/2015 19:05;306
25/06/2015 19:08;259
25/06/2015 19:11;268
25/06/2015 19:14;242
25/06/2015 19:17;238
25/06/2015 19:20;239
25/06/2015 19:23;239
25/06/2015 19:26;238
25/06/2015 19:29;225
25/06/2015 19:32;214
25/06/2015 19:35;220
25/06/2015 19:38;231
25/06/2015 19:41;238
25/06/2015 19:44;230
25/06/2015 19:47;218
25/06/2015 19:50;299
25/06/2015 19:53;333
25/06/2015 19:56;372
25/06/2015 19:59;283
25/06/2015 15:46;296
25/06/2015 15:49;339
25/06/2015 15:52;368
25/06/2015 15:55;416
25/06/2015 15:58;398
25/06/2015 16:00;583
25/06/2015 16:03;1185
25/06/2015 16:06;1247
25/06/2015 16:09;604
25/06/2015 16:12;430
25/06/2015 16:15;382
25/06/2015 16:18;335
25/06/2015 16:21;328
25/06/2015 16:24;567
25/06/2015 16:27;424
25/06/2015 16:30;359
25/06/2015 16:33;290
25/06/2015 16:36;289
25/06/2015 16:39;349
25/06/2015 16:42;369
25/06/2015 16:45;353
25/06/2015 16:48;2013
25/06/2015 16:51;1075
25/06/2015 16:54;733
25/06/2015 16:57;585
25/06/2015 17:02;497
25/06/2015 17:05;454
25/06/2015 17:08;860
25/06/2015 17:11;970
25/06/2015 17:14;472
